Date,SPY,^VIX
2015-01-02,170.125,17.790000915527344
2015-01-05,167.0526123046875,19.920000076293945
2015-01-06,165.47911071777344,21.1200008392334
2015-01-07,167.54119873046875,19.309999465942383
2015-01-08,170.51422119140625,17.010000228881836
2015-01-09,169.14781188964844,17.549999237060547
2015-01-12,167.82276916503906,19.600000381469727
2015-01-13,167.35073852539062,20.559999465942383
2015-01-14,166.34042358398438,21.479999542236328
2015-01-15,164.8165740966797,22.389999389648438
2015-01-16,166.9780731201172,20.950000762939453
2015-01-20,167.33413696289062,19.889999389648438
2015-01-21,168.17886352539062,18.850000381469727
2015-01-22,170.67987060546875,16.399999618530273
2015-01-23,169.74411010742188,16.65999984741211
2015-01-26,170.1415557861328,15.520000457763672
2015-01-27,167.89730834960938,17.219999313354492
2015-01-28,165.7440948486328,20.440000534057617
2015-01-29,167.27618408203125,18.760000228881836
2015-01-30,165.17269897460938,20.969999313354492
2015-02-02,167.2182159423828,19.43000030517578
2015-02-03,169.6363983154297,17.329999923706055
2015-02-04,168.99041748046875,18.329999923706055
2015-02-05,170.69635009765625,16.850000381469727
2015-02-06,170.22438049316406,17.290000915527344
2015-02-09,169.46249389648438,18.549999237060547
2015-02-10,171.26780700683594,17.229999542236328
2015-02-11,171.36720275878906,16.959999084472656
2015-02-12,173.01519775390625,15.34000015258789
2015-02-13,173.7274627685547,14.6899995803833
2015-02-17,174.00071716308594,15.800000190734863
2015-02-18,174.0172882080078,15.449999809265137
2015-02-19,173.89308166503906,15.289999961853027
2015-02-20,174.93649291992188,14.300000190734863
2015-02-23,174.91163635253906,14.5600004196167
2015-02-24,175.4085235595703,13.6899995803833
2015-02-25,175.25946044921875,13.84000015258789
2015-02-26,175.05245971679688,13.90999984741211
2015-02-27,174.45619201660156,13.34000015258789
2015-03-02,175.5576171875,13.039999961853027
2015-03-03,174.8371124267578,13.859999656677246
2015-03-04,174.10003662109375,14.229999542236328
2015-03-05,174.2905731201172,14.039999961853027
2015-03-06,171.83924865722656,15.199999809265137
2015-03-09,172.55145263671875,15.0600004196167
2015-03-10,169.75234985351562,16.690000534057617
2015-03-11,169.3548126220703,16.8700008392334
2015-03-12,171.50796508789062,15.420000076293945
2015-03-13,170.45626831054688,16.0
2015-03-16,172.733642578125,15.609999656677246
2015-03-17,172.22019958496094,15.65999984741211
2015-03-18,174.2905731201172,13.970000267028809
2015-03-19,173.4955291748047,14.069999694824219
2015-03-20,175.02694702148438,13.020000457763672
2015-03-23,174.68588256835938,13.40999984741211
2015-03-24,173.70437622070312,13.619999885559082
2015-03-25,171.15892028808594,15.4399995803833
2015-03-26,170.75137329101562,15.800000190734863
2015-03-27,171.1422576904297,15.069999694824219
2015-03-30,173.2301788330078,14.510000228881836
2015-03-31,171.7162322998047,15.289999961853027
2015-04-01,171.1090087890625,15.109999656677246
2015-04-02,171.7245635986328,14.670000076293945
2015-04-06,172.880859375,14.739999771118164
2015-04-07,172.42330932617188,14.779999732971191
2015-04-08,173.00550842285156,13.979999542236328
2015-04-09,173.7709197998047,13.09000015258789
2015-04-10,174.7191925048828,12.579999923706055
2015-04-13,173.92889404296875,13.9399995803833
2015-04-14,174.26168823242188,13.670000076293945
2015-04-15,175.0436248779297,12.84000015258789
2015-04-16,174.99368286132812,12.600000381469727
2015-04-17,172.98062133789062,13.890000343322754
2015-04-20,174.56109619140625,13.300000190734863
2015-04-21,174.35316467285156,13.25
2015-04-22,175.20999145507812,12.710000038146973
2015-04-23,175.6508331298828,12.479999542236328
2015-04-24,176.0584259033203,12.289999961853027
2015-04-27,175.32643127441406,13.119999885559082
2015-04-28,175.8837127685547,12.40999984741211
2015-04-29,175.16001892089844,13.390000343322754
2015-04-30,173.40487670898438,14.550000190734863
2015-05-01,175.2848358154297,12.699999809265137
2015-05-04,175.78390502929688,12.850000381469727
2015-05-05,173.7709197998047,14.3100004196167
2015-05-06,173.05552673339844,15.149999618530273
2015-05-07,173.7459259033203,15.130000114440918
2015-05-08,176.033447265625,12.859999656677246
2015-05-11,175.193359375,13.850000381469727
2015-05-12,174.66925048828125,13.859999656677246
2015-05-13,174.70254516601562,13.760000228881836
2015-05-14,176.5242462158203,12.739999771118164
2015-05-15,176.71559143066406,12.380000114440918
2015-05-18,177.2645721435547,12.729999542236328
2015-05-19,177.20635986328125,12.850000381469727
2015-05-20,177.0816192626953,12.880000114440918
2015-05-21,177.59735107421875,12.109999656677246
2015-05-22,177.17311096191406,12.130000114440918
2015-05-26,175.2681884765625,14.0600004196167
2015-05-27,176.93190002441406,13.270000457763672
2015-05-28,176.7322235107422,13.3100004196167
2015-05-29,175.63418579101562,13.84000015258789
2015-06-01,175.9918975830078,13.970000267028809
2015-06-02,175.81716918945312,14.239999771118164
2015-06-03,176.28305053710938,13.65999984741211
2015-06-04,174.79400634765625,14.710000038146973
2015-06-05,174.4945526123047,14.210000038146973
2015-06-08,173.42149353027344,15.289999961853027
2015-06-09,173.3965301513672,14.470000267028809
2015-06-10,175.4761199951172,13.220000267028809
2015-06-11,176.04180908203125,12.850000381469727
2015-06-12,174.6942596435547,13.779999732971191
2015-06-15,173.945556640625,15.390000343322754
2015-06-16,174.8938446044922,14.8100004196167
2015-06-17,175.17665100097656,14.5
2015-06-18,176.99847412109375,13.1899995803833
2015-06-19,176.21270751953125,13.960000038146973
2015-06-22,177.1154327392578,12.739999771118164
2015-06-23,177.24081420898438,12.109999656677246
2015-06-24,175.95352172851562,13.260000228881836
2015-06-25,175.41856384277344,14.010000228881836
2015-06-26,175.3851776123047,14.020000457763672
2015-06-29,171.70726013183594,18.850000381469727
2015-06-30,172.06668090820312,18.229999542236328
2015-07-01,173.44593811035156,16.09000015258789
2015-07-02,173.28707885742188,16.790000915527344
2015-07-06,172.7938995361328,17.010000228881836
2015-07-07,173.88055419921875,16.09000015258789
2015-07-08,170.96328735351562,19.65999984741211
2015-07-09,171.27264404296875,19.969999313354492
2015-07-10,173.42919921875,16.829999923706055
2015-07-13,175.3433380126953,13.899999618530273
2015-07-14,176.10400390625,13.369999885559082
2015-07-15,176.0455322265625,13.229999542236328
2015-07-16,177.45809936523438,12.109999656677246
2015-07-17,177.6085662841797,11.949999809265137
2015-07-20,177.7004852294922,12.25
2015-07-21,176.9984130859375,12.220000267028809
2015-07-22,176.6807403564453,12.119999885559082
2015-07-23,175.68606567382812,12.640000343322754
2015-07-24,173.8638458251953,13.739999771118164
2015-07-27,172.8523712158203,15.600000381469727
2015-07-28,174.97557067871094,13.4399995803833
2015-07-29,176.17926025390625,12.5
2015-07-30,176.2210235595703,12.130000114440918
2015-07-31,175.95352172851562,12.119999885559082
2015-08-03,175.3600616455078,12.5600004196167
2015-08-04,175.01736450195312,13.0
2015-08-05,175.59413146972656,12.510000228881836
2015-08-06,174.1564483642578,13.770000457763672
2015-08-07,173.82203674316406,13.390000343322754
2015-08-10,176.0120391845703,12.229999542236328
2015-08-11,174.4239044189453,13.710000038146973
