Model,RMSE,MAE
XGBoost,0.009898893951212573,0.00707608443686363
Tuned XGBoost,0.010123702792743262,0.007107234486455669
Random Forest,0.01023370484558887,0.00719327915342325
Baseline,0.010238094043254502,0.0069230401538838944
Stacking,0.010465646783777543,0.007258058300518828
Extra Trees,0.010538019108849217,0.007468684321240382
Ridge,0.010577215650237228,0.007483015111452957
"GARCH(1,1)",0.10777922573668722,0.10082965520181378
